 MPG, Cylinders, Displacement, Horsepower, Weight, Acceleration, Model Year, Origin, Displacement On Horsepower, Weight On Cylinder, Acceleration On Horsepower, Acceleration On Cylinders, Fuel Efficiency,
 19.0, 6, 250.0, 88.0, 3302.0, 15.5, 71, 1, 2.840909090909091, 550.3333333333334, 0.17613636363636365, 2.5833333333333335, LOW,
 18.0, 6, 232.0, 100.0, 3288.0, 15.5, 71, 1, 2.32, 548.0, 0.155, 2.5833333333333335, LOW,
 14.0, 8, 350.0, 165.0, 4209.0, 12.0, 71, 1, 2.121212121212121, 526.125, 0.07272727272727272, 1.5, LOW,
 14.0, 8, 400.0, 175.0, 4464.0, 11.5, 71, 1, 2.2857142857142856, 558.0, 0.06571428571428571, 1.4375, LOW,
 14.0, 8, 351.0, 153.0, 4154.0, 13.5, 71, 1, 2.2941176470588234, 519.25, 0.08823529411764706, 1.6875, LOW,
 14.0, 8, 318.0, 150.0, 4096.0, 13.0, 71, 1, 2.12, 512.0, 0.08666666666666667, 1.625, LOW,
 12.0, 8, 383.0, 180.0, 4955.0, 11.5, 71, 1, 2.1277777777777778, 619.375, 0.06388888888888888, 1.4375, LOW,
 13.0, 8, 400.0, 170.0, 4746.0, 12.0, 71, 1, 2.3529411764705883, 593.25, 0.07058823529411765, 1.5, LOW,
 13.0, 8, 400.0, 175.0, 5140.0, 12.0, 71, 1, 2.2857142857142856, 642.5, 0.06857142857142857, 1.5, LOW,
 18.0, 6, 258.0, 110.0, 2962.0, 13.5, 71, 1, 2.3454545454545452, 493.6666666666667, 0.12272727272727273, 2.25, LOW,
 22.0, 4, 140.0, 72.0, 2408.0, 19.0, 71, 1, 1.9444444444444444, 602.0, 0.2638888888888889, 4.75, LOW,
 19.0, 6, 250.0, 100.0, 3282.0, 15.0, 71, 1, 2.5, 547.0, 0.15, 2.5, LOW,
 18.0, 6, 250.0, 88.0, 3139.0, 14.5, 71, 1, 2.840909090909091, 523.1666666666666, 0.16477272727272727, 2.4166666666666665, LOW,
 23.0, 4, 122.0, 86.0, 2220.0, 14.0, 71, 1, 1.4186046511627908, 555.0, 0.16279069767441862, 3.5, LOW,
 28.0, 4, 116.0, 90.0, 2123.0, 14.0, 71, 2, 1.288888888888889, 530.75, 0.15555555555555556, 3.5, LOW,
 30.0, 4, 79.0, 70.0, 2074.0, 19.5, 71, 2, 1.1285714285714286, 518.5, 0.2785714285714286, 4.875, LOW,
 30.0, 4, 88.0, 76.0, 2065.0, 14.5, 71, 2, 1.1578947368421053, 516.25, 0.19078947368421054, 3.625, LOW,
 31.0, 4, 71.0, 65.0, 1773.0, 19.0, 71, 3, 1.0923076923076922, 443.25, 0.2923076923076923, 4.75, HIGH,
 35.0, 4, 72.0, 69.0, 1613.0, 18.0, 71, 3, 1.0434782608695652, 403.25, 0.2608695652173913, 4.5, HIGH,
 27.0, 4, 97.0, 60.0, 1834.0, 19.0, 71, 2, 1.6166666666666667, 458.5, 0.31666666666666665, 4.75, LOW,
 26.0, 4, 91.0, 70.0, 1955.0, 20.5, 71, 1, 1.3, 488.75, 0.29285714285714287, 5.125, LOW,
 24.0, 4, 113.0, 95.0, 2278.0, 15.5, 72, 3, 1.1894736842105262, 569.5, 0.1631578947368421, 3.875, LOW,
 25.0, 4, 97.5, 80.0, 2126.0, 17.0, 72, 1, 1.21875, 531.5, 0.2125, 4.25, LOW,
 23.0, 4, 97.0, 54.0, 2254.0, 23.5, 72, 2, 1.7962962962962963, 563.5, 0.4351851851851852, 5.875, LOW,
 20.0, 4, 140.0, 90.0, 2408.0, 19.5, 72, 1, 1.5555555555555556, 602.0, 0.21666666666666667, 4.875, LOW,
 21.0, 4, 122.0, 86.0, 2226.0, 16.5, 72, 1, 1.4186046511627908, 556.5, 0.19186046511627908, 4.125, LOW,
 13.0, 8, 350.0, 165.0, 4274.0, 12.0, 72, 1, 2.121212121212121, 534.25, 0.07272727272727272, 1.5, LOW,
 14.0, 8, 400.0, 175.0, 4385.0, 12.0, 72, 1, 2.2857142857142856, 548.125, 0.06857142857142857, 1.5, LOW,
 15.0, 8, 318.0, 150.0, 4135.0, 13.5, 72, 1, 2.12, 516.875, 0.09, 1.6875, LOW,
 14.0, 8, 351.0, 153.0, 4129.0, 13.0, 72, 1, 2.2941176470588234, 516.125, 0.08496732026143791, 1.625, LOW,
 17.0, 8, 304.0, 150.0, 3672.0, 11.5, 72, 1, 2.026666666666667, 459.0, 0.07666666666666666, 1.4375, LOW,
 11.0, 8, 429.0, 208.0, 4633.0, 11.0, 72, 1, 2.0625, 579.125, 0.052884615384615384, 1.375, LOW,
 13.0, 8, 350.0, 155.0, 4502.0, 13.5, 72, 1, 2.2580645161290325, 562.75, 0.08709677419354839, 1.6875, LOW,
 12.0, 8, 350.0, 160.0, 4456.0, 13.5, 72, 1, 2.1875, 557.0, 0.084375, 1.6875, LOW,
 13.0, 8, 400.0, 190.0, 4422.0, 12.5, 72, 1, 2.1052631578947367, 552.75, 0.06578947368421052, 1.5625, LOW,
 19.0, 3, 70.0, 97.0, 2330.0, 13.5, 72, 3, 0.7216494845360825, 776.6666666666666, 0.13917525773195877, 4.5, LOW,
 15.0, 8, 304.0, 150.0, 3892.0, 12.5, 72, 1, 2.026666666666667, 486.5, 0.08333333333333333, 1.5625, LOW,
 13.0, 8, 307.0, 130.0, 4098.0, 14.0, 72, 1, 2.3615384615384616, 512.25, 0.1076923076923077, 1.75, LOW,
 13.0, 8, 302.0, 140.0, 4294.0, 16.0, 72, 1, 2.157142857142857, 536.75, 0.11428571428571428, 2.0, LOW,
 14.0, 8, 318.0, 150.0, 4077.0, 14.0, 72, 1, 2.12, 509.625, 0.09333333333333334, 1.75, LOW,
 18.0, 4, 121.0, 112.0, 2933.0, 14.5, 72, 2, 1.0803571428571428, 733.25, 0.12946428571428573, 3.625, LOW,
 22.0, 4, 121.0, 76.0, 2511.0, 18.0, 72, 2, 1.5921052631578947, 627.75, 0.23684210526315788, 4.5, LOW,
 21.0, 4, 120.0, 87.0, 2979.0, 19.5, 72, 2, 1.3793103448275863, 744.75, 0.22413793103448276, 4.875, LOW,
 26.0, 4, 96.0, 69.0, 2189.0, 18.0, 72, 2, 1.391304347826087, 547.25, 0.2608695652173913, 4.5, LOW,
 22.0, 4, 122.0, 86.0, 2395.0, 16.0, 72, 1, 1.4186046511627908, 598.75, 0.18604651162790697, 4.0, LOW,
 28.0, 4, 97.0, 92.0, 2288.0, 17.0, 72, 3, 1.0543478260869565, 572.0, 0.18478260869565216, 4.25, LOW,
 23.0, 4, 120.0, 97.0, 2506.0, 14.5, 72, 3, 1.2371134020618557, 626.5, 0.14948453608247422, 3.625, LOW,
 28.0, 4, 98.0, 80.0, 2164.0, 15.0, 72, 1, 1.225, 541.0, 0.1875, 3.75, LOW,
 27.0, 4, 97.0, 88.0, 2100.0, 16.5, 72, 3, 1.1022727272727273, 525.0, 0.1875, 4.125, LOW,
 13.0, 8, 350.0, 175.0, 4100.0, 13.0, 73, 1, 2.0, 512.5, 0.07428571428571429, 1.625, LOW,
 14.0, 8, 304.0, 150.0, 3672.0, 11.5, 73, 1, 2.026666666666667, 459.0, 0.07666666666666666, 1.4375, LOW,
 13.0, 8, 350.0, 145.0, 3988.0, 13.0, 73, 1, 2.413793103448276, 498.5, 0.0896551724137931, 1.625, LOW,
 14.0, 8, 302.0, 137.0, 4042.0, 14.5, 73, 1, 2.204379562043796, 505.25, 0.10583941605839416, 1.8125, LOW,
 15.0, 8, 318.0, 150.0, 3777.0, 12.5, 73, 1, 2.12, 472.125, 0.08333333333333333, 1.5625, LOW,
 12.0, 8, 429.0, 198.0, 4952.0, 11.5, 73, 1, 2.1666666666666665, 619.0, 0.05808080808080808, 1.4375, LOW,
 13.0, 8, 400.0, 150.0, 4464.0, 12.0, 73, 1, 2.6666666666666665, 558.0, 0.08, 1.5, LOW,
 13.0, 8, 351.0, 158.0, 4363.0, 13.0, 73, 1, 2.221518987341772, 545.375, 0.08227848101265822, 1.625, LOW,
 14.0, 8, 318.0, 150.0, 4237.0, 14.5, 73, 1, 2.12, 529.625, 0.09666666666666666, 1.8125, LOW,
 13.0, 8, 440.0, 215.0, 4735.0, 11.0, 73, 1, 2.046511627906977, 591.875, 0.05116279069767442, 1.375, LOW,
 12.0, 8, 455.0, 102.91214470284238, 4951.0, 11.0, 73, 1, 4.421246892811409, 618.875, 0.10688728751851759, 1.375, LOW,
 13.0, 8, 360.0, 175.0, 3821.0, 11.0, 73, 1, 2.057142857142857, 477.625, 0.06285714285714286, 1.375, LOW,
 18.0, 6, 225.0, 105.0, 3121.0, 16.5, 73, 1, 2.142857142857143, 520.1666666666666, 0.15714285714285714, 2.75, LOW,
 16.0, 6, 250.0, 100.0, 3278.0, 18.0, 73, 1, 2.5, 546.3333333333334, 0.18, 3.0, LOW,
 18.0, 6, 232.0, 100.0, 2945.0, 16.0, 73, 1, 2.32, 490.8333333333333, 0.16, 2.6666666666666665, LOW,
 18.0, 6, 250.0, 88.0, 3021.0, 16.5, 73, 1, 2.840909090909091, 503.5, 0.1875, 2.75, LOW,
 23.0, 6, 198.0, 95.0, 2904.0, 16.0, 73, 1, 2.0842105263157893, 484.0, 0.16842105263157894, 2.6666666666666665, LOW,
 26.0, 4, 97.0, 46.0, 1950.0, 21.0, 73, 2, 2.108695652173913, 487.5, 0.45652173913043476, 5.25, LOW,
 11.0, 8, 400.0, 150.0, 4997.0, 14.0, 73, 1, 2.6666666666666665, 624.625, 0.09333333333333334, 1.75, LOW,
 12.0, 8, 400.0, 167.0, 4906.0, 12.5, 73, 1, 2.395209580838323, 613.25, 0.0748502994011976, 1.5625, LOW,
 13.0, 8, 360.0, 170.0, 4654.0, 13.0, 73, 1, 2.1176470588235294, 581.75, 0.07647058823529412, 1.625, LOW,
 12.0, 8, 350.0, 180.0, 4499.0, 12.5, 73, 1, 1.9444444444444444, 562.375, 0.06944444444444445, 1.5625, LOW,
 18.0, 6, 232.0, 100.0, 2789.0, 15.0, 73, 1, 2.32, 464.8333333333333, 0.15, 2.5, LOW,
 20.0, 4, 97.0, 88.0, 2279.0, 19.0, 73, 3, 1.1022727272727273, 569.75, 0.2159090909090909, 4.75, LOW,
 21.0, 4, 140.0, 72.0, 2401.0, 19.5, 73, 1, 1.9444444444444444, 600.25, 0.2708333333333333, 4.875, LOW,
 22.0, 4, 108.0, 94.0, 2379.0, 16.5, 73, 3, 1.148936170212766, 594.75, 0.17553191489361702, 4.125, LOW,
 18.0, 3, 70.0, 90.0, 2124.0, 13.5, 73, 3, 0.7777777777777778, 708.0, 0.15, 4.5, LOW,
 19.0, 4, 122.0, 85.0, 2310.0, 18.5, 73, 1, 1.4352941176470588, 577.5, 0.21764705882352942, 4.625, LOW,
 21.0, 6, 155.0, 107.0, 2472.0, 14.0, 73, 1, 1.4485981308411215, 412.0, 0.1308411214953271, 2.3333333333333335, LOW,
 26.0, 4, 98.0, 90.0, 2265.0, 15.5, 73, 2, 1.0888888888888888, 566.25, 0.17222222222222222, 3.875, LOW,
 15.0, 8, 350.0, 145.0, 4082.0, 13.0, 73, 1, 2.413793103448276, 510.25, 0.0896551724137931, 1.625, LOW,
 16.0, 8, 400.0, 102.91214470284238, 4278.0, 9.5, 73, 1, 3.8868104552188214, 534.75, 0.092311748311447, 1.1875, LOW,
 29.0, 4, 68.0, 49.0, 1867.0, 19.5, 73, 2, 1.3877551020408163, 466.75, 0.3979591836734694, 4.875, LOW,
 24.0, 4, 116.0, 75.0, 2158.0, 15.5, 73, 2, 1.5466666666666666, 539.5, 0.20666666666666667, 3.875, LOW,
 20.0, 4, 114.0, 91.0, 2582.0, 14.0, 73, 2, 1.2527472527472527, 645.5, 0.15384615384615385, 3.5, LOW,
 19.0, 4, 121.0, 112.0, 2868.0, 15.5, 73, 2, 1.0803571428571428, 717.0, 0.13839285714285715, 3.875, LOW,
 15.0, 8, 318.0, 150.0, 3399.0, 11.0, 73, 1, 2.12, 424.875, 0.07333333333333333, 1.375, LOW,
 24.0, 4, 121.0, 110.0, 2660.0, 14.0, 73, 2, 1.1, 665.0, 0.12727272727272726, 3.5, LOW,
 20.0, 6, 156.0, 122.0, 2807.0, 13.5, 73, 3, 1.278688524590164, 467.8333333333333, 0.11065573770491803, 2.25, LOW,
 11.0, 8, 350.0, 180.0, 3664.0, 11.0, 73, 1, 1.9444444444444444, 458.0, 0.06111111111111111, 1.375, LOW,
 20.0, 6, 198.0, 95.0, 3102.0, 16.5, 74, 1, 2.0842105263157893, 517.0, 0.1736842105263158, 2.75, LOW,
 21.0, 6, 200.0, 102.91214470284238, 2875.0, 17.0, 74, 1, 1.9434052276094107, 479.1666666666667, 0.1651894443467999, 2.8333333333333335, LOW,
 19.0, 6, 232.0, 100.0, 2901.0, 16.0, 74, 1, 2.32, 483.5, 0.16, 2.6666666666666665, LOW,
 15.0, 6, 250.0, 100.0, 3336.0, 17.0, 74, 1, 2.5, 556.0, 0.17, 2.8333333333333335, LOW,
 31.0, 4, 79.0, 67.0, 1950.0, 19.0, 74, 3, 1.1791044776119404, 487.5, 0.2835820895522388, 4.75, HIGH,
 26.0, 4, 122.0, 80.0, 2451.0, 16.5, 74, 1, 1.525, 612.75, 0.20625, 4.125, LOW,
 32.0, 4, 71.0, 65.0, 1836.0, 21.0, 74, 3, 1.0923076923076922, 459.0, 0.3230769230769231, 5.25, HIGH,
 25.0, 4, 140.0, 75.0, 2542.0, 17.0, 74, 1, 1.8666666666666667, 635.5, 0.22666666666666666, 4.25, LOW,
 16.0, 6, 250.0, 100.0, 3781.0, 17.0, 74, 1, 2.5, 630.1666666666666, 0.17, 2.8333333333333335, LOW,
 16.0, 6, 258.0, 110.0, 3632.0, 18.0, 74, 1, 2.3454545454545452, 605.3333333333334, 0.16363636363636364, 3.0, LOW,
 18.0, 6, 225.0, 105.0, 3613.0, 16.5, 74, 1, 2.142857142857143, 602.1666666666666, 0.15714285714285714, 2.75, LOW,
 16.0, 8, 302.0, 140.0, 4141.0, 14.0, 74, 1, 2.157142857142857, 517.625, 0.1, 1.75, LOW,
 13.0, 8, 350.0, 150.0, 4699.0, 14.5, 74, 1, 2.3333333333333335, 587.375, 0.09666666666666666, 1.8125, LOW,
 14.0, 8, 318.0, 150.0, 4457.0, 13.5, 74, 1, 2.12, 557.125, 0.09, 1.6875, LOW,
 14.0, 8, 302.0, 140.0, 4638.0, 16.0, 74, 1, 2.157142857142857, 579.75, 0.11428571428571428, 2.0, LOW,
 14.0, 8, 304.0, 150.0, 4257.0, 15.5, 74, 1, 2.026666666666667, 532.125, 0.10333333333333333, 1.9375, LOW,
 29.0, 4, 98.0, 83.0, 2219.0, 16.5, 74, 2, 1.180722891566265, 554.75, 0.19879518072289157, 4.125, LOW,
 26.0, 4, 79.0, 67.0, 1963.0, 15.5, 74, 2, 1.1791044776119404, 490.75, 0.23134328358208955, 3.875, LOW,
 26.0, 4, 97.0, 78.0, 2300.0, 14.5, 74, 2, 1.2435897435897436, 575.0, 0.1858974358974359, 3.625, LOW,
 31.0, 4, 76.0, 52.0, 1649.0, 16.5, 74, 3, 1.4615384615384615, 412.25, 0.3173076923076923, 4.125, HIGH,
 32.0, 4, 83.0, 61.0, 2003.0, 19.0, 74, 3, 1.360655737704918, 500.75, 0.3114754098360656, 4.75, HIGH,
 28.0, 4, 90.0, 75.0, 2125.0, 14.5, 74, 1, 1.2, 531.25, 0.19333333333333333, 3.625, LOW,
 24.0, 4, 90.0, 75.0, 2108.0, 15.5, 74, 2, 1.2, 527.0, 0.20666666666666667, 3.875, LOW,
 26.0, 4, 116.0, 75.0, 2246.0, 14.0, 74, 2, 1.5466666666666666, 561.5, 0.18666666666666668, 3.5, LOW,
 24.0, 4, 120.0, 97.0, 2489.0, 15.0, 74, 3, 1.2371134020618557, 622.25, 0.15463917525773196, 3.75, LOW,
 26.0, 4, 108.0, 93.0, 2391.0, 15.5, 74, 3, 1.1612903225806452, 597.75, 0.16666666666666666, 3.875, LOW,
 31.0, 4, 79.0, 67.0, 2000.0, 16.0, 74, 2, 1.1791044776119404, 500.0, 0.23880597014925373, 4.0, HIGH,
 19.0, 6, 225.0, 95.0, 3264.0, 16.0, 75, 1, 2.3684210526315788, 544.0, 0.16842105263157894, 2.6666666666666665, LOW,
 18.0, 6, 250.0, 105.0, 3459.0, 16.0, 75, 1, 2.380952380952381, 576.5, 0.1523809523809524, 2.6666666666666665, LOW,
 15.0, 6, 250.0, 72.0, 3432.0, 21.0, 75, 1, 3.4722222222222223, 572.0, 0.2916666666666667, 3.5, LOW,
 15.0, 6, 250.0, 72.0, 3158.0, 19.5, 75, 1, 3.4722222222222223, 526.3333333333334, 0.2708333333333333, 3.25, LOW,
 16.0, 8, 400.0, 170.0, 4668.0, 11.5, 75, 1, 2.3529411764705883, 583.5, 0.06764705882352941, 1.4375, LOW,
 15.0, 8, 350.0, 145.0, 4440.0, 14.0, 75, 1, 2.413793103448276, 555.0, 0.09655172413793103, 1.75, LOW,
 16.0, 8, 318.0, 150.0, 4498.0, 14.5, 75, 1, 2.12, 562.25, 0.09666666666666666, 1.8125, LOW,
 14.0, 8, 351.0, 148.0, 4657.0, 13.5, 75, 1, 2.3716216216216215, 582.125, 0.09121621621621621, 1.6875, LOW,
 17.0, 6, 231.0, 110.0, 3907.0, 21.0, 75, 1, 2.1, 651.1666666666666, 0.19090909090909092, 3.5, LOW,
 16.0, 6, 250.0, 105.0, 3897.0, 18.5, 75, 1, 2.380952380952381, 649.5, 0.1761904761904762, 3.0833333333333335, LOW,
 15.0, 6, 258.0, 110.0, 3730.0, 19.0, 75, 1, 2.3454545454545452, 621.6666666666666, 0.17272727272727273, 3.1666666666666665, LOW,
 18.0, 6, 225.0, 95.0, 3785.0, 19.0, 75, 1, 2.3684210526315788, 630.8333333333334, 0.2, 3.1666666666666665, LOW,
 21.0, 6, 231.0, 110.0, 3039.0, 15.0, 75, 1, 2.1, 506.5, 0.13636363636363635, 2.5, LOW,
 20.0, 8, 262.0, 110.0, 3221.0, 13.5, 75, 1, 2.381818181818182, 402.625, 0.12272727272727273, 1.6875, LOW,
 13.0, 8, 302.0, 129.0, 3169.0, 12.0, 75, 1, 2.3410852713178296, 396.125, 0.09302325581395349, 1.5, LOW,
 29.0, 4, 97.0, 75.0, 2171.0, 16.0, 75, 3, 1.2933333333333332, 542.75, 0.21333333333333335, 4.0, LOW,
 23.0, 4, 140.0, 83.0, 2639.0, 17.0, 75, 1, 1.6867469879518073, 659.75, 0.20481927710843373, 4.25, LOW,
 20.0, 6, 232.0, 100.0, 2914.0, 16.0, 75, 1, 2.32, 485.6666666666667, 0.16, 2.6666666666666665, LOW,
 23.0, 4, 140.0, 78.0, 2592.0, 18.5, 75, 1, 1.794871794871795, 648.0, 0.23717948717948717, 4.625, LOW,
 24.0, 4, 134.0, 96.0, 2702.0, 13.5, 75, 3, 1.3958333333333333, 675.5, 0.140625, 3.375, LOW,
 25.0, 4, 90.0, 71.0, 2223.0, 16.5, 75, 2, 1.267605633802817, 555.75, 0.2323943661971831, 4.125, LOW,
 24.0, 4, 119.0, 97.0, 2545.0, 17.0, 75, 3, 1.2268041237113403, 636.25, 0.17525773195876287, 4.25, LOW,
 18.0, 6, 171.0, 97.0, 2984.0, 14.5, 75, 1, 1.7628865979381443, 497.3333333333333, 0.14948453608247422, 2.4166666666666665, LOW,
 29.0, 4, 90.0, 70.0, 1937.0, 14.0, 75, 2, 1.2857142857142858, 484.25, 0.2, 3.5, LOW,
 19.0, 6, 232.0, 90.0, 3211.0, 17.0, 75, 1, 2.577777777777778, 535.1666666666666, 0.18888888888888888, 2.8333333333333335, LOW,
 23.0, 4, 115.0, 95.0, 2694.0, 15.0, 75, 2, 1.2105263157894737, 673.5, 0.15789473684210525, 3.75, LOW,
 23.0, 4, 120.0, 88.0, 2957.0, 17.0, 75, 2, 1.3636363636363635, 739.25, 0.19318181818181818, 4.25, LOW,
 22.0, 4, 121.0, 98.0, 2945.0, 14.5, 75, 2, 1.2346938775510203, 736.25, 0.14795918367346939, 3.625, LOW,
 25.0, 4, 121.0, 115.0, 2671.0, 13.5, 75, 2, 1.0521739130434782, 667.75, 0.11739130434782609, 3.375, LOW,
 33.0, 4, 91.0, 53.0, 1795.0, 17.5, 75, 3, 1.7169811320754718, 448.75, 0.330188679245283, 4.375, HIGH,
 28.0, 4, 107.0, 86.0, 2464.0, 15.5, 76, 2, 1.244186046511628, 616.0, 0.18023255813953487, 3.875, LOW,
 25.0, 4, 116.0, 81.0, 2220.0, 16.9, 76, 2, 1.4320987654320987, 555.0, 0.20864197530864195, 4.225, LOW,
 25.0, 4, 140.0, 92.0, 2572.0, 14.9, 76, 1, 1.5217391304347827, 643.0, 0.16195652173913044, 3.725, LOW,
 26.0, 4, 98.0, 79.0, 2255.0, 17.7, 76, 1, 1.240506329113924, 563.75, 0.2240506329113924, 4.425, LOW,
 27.0, 4, 101.0, 83.0, 2202.0, 15.3, 76, 2, 1.216867469879518, 550.5, 0.18433734939759036, 3.825, LOW,
 17.5, 8, 305.0, 140.0, 4215.0, 13.0, 76, 1, 2.1785714285714284, 526.875, 0.09285714285714286, 1.625, LOW,
 16.0, 8, 318.0, 150.0, 4190.0, 13.0, 76, 1, 2.12, 523.75, 0.08666666666666667, 1.625, LOW,
 15.5, 8, 304.0, 120.0, 3962.0, 13.9, 76, 1, 2.533333333333333, 495.25, 0.11583333333333333, 1.7375, LOW,
 14.5, 8, 351.0, 152.0, 4215.0, 12.8, 76, 1, 2.3092105263157894, 526.875, 0.08421052631578947, 1.6, LOW,
 22.0, 6, 225.0, 100.0, 3233.0, 15.4, 76, 1, 2.25, 538.8333333333334, 0.154, 2.566666666666667, LOW,
 22.0, 6, 250.0, 105.0, 3353.0, 14.5, 76, 1, 2.380952380952381, 558.8333333333334, 0.1380952380952381, 2.4166666666666665, LOW,
 24.0, 6, 200.0, 81.0, 3012.0, 17.6, 76, 1, 2.4691358024691357, 502.0, 0.21728395061728398, 2.9333333333333336, LOW,
 22.5, 6, 232.0, 90.0, 3085.0, 17.6, 76, 1, 2.577777777777778, 514.1666666666666, 0.19555555555555557, 2.9333333333333336, LOW,
 29.0, 4, 85.0, 52.0, 2035.0, 22.2, 76, 1, 1.6346153846153846, 508.75, 0.4269230769230769, 5.55, LOW,
 24.5, 4, 98.0, 60.0, 2164.0, 22.1, 76, 1, 1.6333333333333333, 541.0, 0.36833333333333335, 5.525, LOW,
